NewID,Gender,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q11_1,Q11_1_ADJ,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_8_ADJ,Q11_9,Q11_10,Q11_11,Q11_12,Q11_12_ADJ,Q11_13,Q11_14,Q11_14_ADJ,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_25_ADJ,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,4,3,3,4,3,3,4,3,5,2,2,3,2,4,2,2,2,2,2,2,3,4,2,4,3,2,3,5,4,3,3,1,1,3,2,4,4,2,4,2,3,1,2,3,4,2,5,2,1,1,5,5,6,5,3,3,4,1,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,4,4,3,4,3,4,2,4,5,3,4,3,3,2,1,1,1,2,1,2,2,3,3,3,4,2,3,4,3,3,3,2,3,3,2,4,4,2,4,3,2,4,2,3,3,4,4,2,3,3,3,2,2,6,4,3,3,2,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,2,3,3,2,2,3,4,4,2,4,1,1,2,1,1,3,1,2,3,2,2,4,2,1,2,2,1,2,2,4,2,2,2,4,4,2,4,3,3,5,2,1,1,1,1,1,3,1,2,3,3,4,2,2,2,1,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,5,5,2,5,3,3,5,4,3,4,4,3,4,4,2,1,1,1,3,3,1,5,1,2,1,1,3,5,5,3,3,4,1,1,5,1,1,5,1,2,2,1,3,3,2,1,1,1,5,5,1,7,7,7,7,7,7,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,2,3,2,4,3,3,4,4,4,4,3,2,3,2,1,1,1,2,2,2,2,5,1,1,1,2,4,4,4,3,3,1,2,1,4,2,2,3,3,2,1,1,2,3,3,4,3,1,4,4,2,7,6,7,7,7,5,5,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,4,2,4,4,3,4,3,2,2,3,2,3,4,1,1,1,2,2,2,2,2,5,1,1,2,1,2,3,4,4,2,2,2,1,3,3,2,3,3,1,1,1,1,2,2,3,2,1,2,3,3,5,6,5,5,5,4,4,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3,2,1,3,4,3,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,4,2,3,4,4,4,4,5,3,3,1,3,3,3,3,3,3,3,3,3,2,1,1,2,2,3,3,2,4,2,5,3,4,4,4,3,3,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3,5,5,4,5,5,4,5,5,4,5,4,2,4,4,4,3,1,3,4,4,4,4,2,3,1,5,5,4,5,3,3,2,4,1,2,4,1,5,1,1,3,3,5,4,3,4,4,3,4,1,5,7,5,7,5,5,5,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,4,3,3,5,4,3,4,4,3,4,3,3,2,2,1,2,1,1,2,3,3,3,3,2,1,4,4,3,4,3,3,1,1,1,4,2,1,4,2,1,1,1,2,2,3,3,1,1,1,2,4,4,3,7,7,5,6,5,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,4,3,3,3,4,4,4,3,3,3,3,3,4,2,2,3,3,2,3,3,3,2,4,3,3,4,4,4,4,2,4,4,4,1,3,3,3,2,4,2,3,4,4,4,4,4,4,4,4,2,4,7,6,6,6,7,7,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,5,3,3,4,2,4,2,4,5,4,3,1,3,2,,1,1,1,2,3,1,4,2,2,1,1,1,1,1,4,2,1,1,1,5,1,2,4,2,1,3,1,1,2,1,1,1,1,1,2,4,6,6,6,6,7,5,7,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,3,2,4,4,1,2,2,3,2,3,4,2,4,2,2,2,1,4,2,4,2,4,2,1,1,4,4,1,5,3,3,1,1,1,2,4,2,3,3,4,1,2,4,2,4,4,2,2,1,4,2,2,2,2,1,2,1,5,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,4,2,2,3,3,3,3,3,4,3,2,2,3,4,3,2,1,2,3,2,2,3,3,2,1,3,4,2,3,3,3,2,2,1,4,2,1,4,2,1,1,2,1,3,4,3,2,2,1,1,5,5,4,6,6,7,6,4,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,5,3,3,4,4,3,4,5,5,3,4,4,3,3,2,1,1,4,2,3,1,5,1,1,1,3,4,5,5,2,4,5,3,1,4,2,1,4,2,1,1,1,2,3,1,4,3,4,1,2,4,6,6,7,7,7,7,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,4,3,2,3,2,2,2,5,4,3,3,1,2,2,1,1,1,2,2,2,2,3,3,1,1,3,3,4,3,3,3,1,3,1,3,3,2,3,3,1,1,2,1,3,3,3,4,3,1,2,4,6,6,7,7,7,7,7,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2,5,4,4,4,5,5,4,5,4,5,4,2,3,2,4,1,4,4,4,2,3,4,2,2,2,3,3,4,3,4,2,3,4,1,3,3,1,4,2,2,5,2,4,1,1,4,2,2,5,4,2,6,2,6,4,5,5,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,4,4,3,3,1,1,5,3,5,3,2,4,3,3,1,1,1,2,2,4,2,1,5,3,1,5,5,5,5,1,5,5,5,1,4,2,3,2,4,1,1,4,3,5,5,5,5,5,5,1,5,7,3,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,5,1,2,5,2,2,2,3,5,4,2,2,4,4,2,1,4,2,4,3,3,5,1,3,3,3,2,4,4,4,2,2,2,3,2,4,1,2,4,1,1,1,3,1,1,5,2,2,1,1,5,2,2,7,7,6,7,1,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,4,3,3,5,3,5,5,4,5,3,4,3,3,4,2,2,1,2,4,4,4,3,3,3,4,3,4,4,5,2,4,4,3,4,5,1,3,1,5,4,4,4,3,3,4,4,4,4,3,1,5,4,7,3,2,2,2,5,4,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,4,4,3,5,1,3,4,4,3,4,2,4,3,3,3,2,3,3,3,4,3,2,4,4,2,4,4,5,4,3,3,2,2,2,2,4,4,1,5,3,3,4,4,2,2,4,4,4,4,1,5,5,3,5,5,5,5,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,4,3,2,4,2,2,2,4,3,3,2,3,2,2,1,2,1,1,1,2,1,3,3,5,3,4,3,4,4,2,4,3,3,2,1,5,4,2,4,1,2,1,1,2,3,2,3,3,3,1,5,3,2,4,5,5,5,6,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2,3,3,3,2,3,3,3,3,4,3,3,2,2,3,1,1,1,2,2,2,2,5,1,1,1,5,5,5,5,5,1,1,1,1,1,5,1,1,5,1,1,1,1,1,5,5,5,5,5,5,1,1,1,,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,2,2,1,3,1,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,3,1,2,2,5,1,1,1,1,4,2,1,4,2,1,1,1,3,3,3,3,1,1,1,4,2,5,1,5,5,5,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,3,1,2,4,2,3,2,4,3,4,2,1,3,3,1,1,1,3,3,3,2,3,3,2,1,2,5,4,5,2,4,5,5,5,1,5,3,2,4,5,3,1,1,1,1,4,5,2,4,2,4,2,6,6,6,7,7,7,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,3,2,3,5,4,5,5,5,5,5,,3,3,3,4,2,1,4,4,4,2,4,2,3,5,4,5,5,5,5,1,3,4,3,2,4,5,1,5,1,4,2,4,1,3,4,2,2,4,4,2,7,6,6,6,7,6,6,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4,5,2,3,4,4,5,5,5,4,4,3,2,2,2,1,2,3,2,2,2,2,3,3,1,1,2,3,3,4,4,2,3,3,2,4,2,3,3,3,2,1,1,1,1,1,2,1,2,1,2,4,5,3,6,6,6,4,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,3,4,4,4,4,4,4,4,3,4,3,3,3,2,2,3,2,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,4,3,3,4,3,3,4,4,4,3,3,3,4,3,4,4,3,3,5,5,6,6,6,6,6,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2,5,4,3,5,5,5,5,3,3,2,1,3,2,2,1,1,1,2,1,1,1,2,4,1,1,3,3,5,5,3,3,1,2,1,3,3,2,3,3,1,3,2,1,2,1,3,1,2,1,1,5,4,3,6,4,4,2,3,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3,4,3,4,4,3,4,3,5,3,3,2,3,2,1,1,1,2,3,3,3,2,5,1,3,2,2,5,5,5,3,3,1,2,5,3,3,1,2,4,3,2,3,5,5,4,4,3,3,5,1,5,4,6,7,7,7,6,6,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,4,3,3,3,3,4,4,4,4,3,2,1,3,4,4,4,3,3,4,3,2,5,1,1,1,5,5,5,5,5,1,5,5,1,1,5,5,5,1,1,1,5,5,5,5,5,5,5,1,1,5,7,6,6,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,4,1,3,4,3,2,3,5,4,3,2,4,2,2,2,2,2,1,2,3,2,2,4,5,4,4,5,3,5,2,4,5,3,1,3,3,2,1,5,2,4,4,1,1,1,5,5,5,5,1,5,5,2,2,2,2,1,1,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,3,2,2,3,4,4,4,3,2,2,2,2,3,3,1,2,3,2,3,3,2,2,4,4,3,5,4,4,3,2,4,3,4,2,3,3,2,2,4,2,2,3,2,4,3,4,4,4,2,1,5,5,3,5,5,5,6,4,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,2,4,2,4,4,4,1,1,2,3,2,3,3,4,1,1,1,1,2,3,2,1,5,4,4,5,4,5,4,1,5,5,5,5,1,5,2,1,5,5,3,4,1,2,3,5,3,4,4,1,5,6,3,6,6,5,3,3,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,2,2,4,3,4,4,5,3,2,4,4,4,4,4,2,1,4,4,4,2,2,3,3,4,2,3,4,3,3,3,3,2,2,2,3,3,3,2,4,2,4,3,3,2,3,3,3,3,3,3,3,5,4,6,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,4,2,2,4,4,4,2,5,3,4,2,3,3,2,1,2,2,1,3,3,2,4,2,2,1,2,3,2,1,2,4,2,3,1,4,2,1,3,3,1,1,2,3,3,4,4,2,1,2,3,3,6,5,5,6,6,6,6,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,3,2,1,1,1,2,1,2,3,2,2,1,2,1,1,1,1,1,2,2,1,5,1,2,1,2,3,2,2,3,3,4,3,1,5,1,1,2,4,1,1,1,1,1,2,2,2,1,2,1,5,3,3,5,5,5,4,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,4,3,5,5,4,2,3,2,4,3,3,2,4,2,2,2,2,4,2,3,4,2,4,2,2,2,2,3,4,5,1,5,1,3,5,1,5,4,2,2,5,3,5,5,5,2,4,5,4,4,2,7,5,7,7,5,5,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,3,2,5,3,4,5,5,5,3,5,2,3,3,3,1,1,2,1,3,3,2,2,4,5,5,5,5,5,5,1,5,5,5,4,1,5,3,1,5,5,4,4,4,5,5,5,5,5,5,1,5,7,5,7,7,7,7,5,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,5,5,5,5,3,4,5,5,5,5,2,1,3,1,1,2,4,2,1,2,1,3,3,1,1,3,5,5,5,3,3,5,4,3,1,5,5,1,5,3,1,2,5,3,1,5,5,5,5,1,5,7,2,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,4,3,1,4,4,4,4,2,2,4,2,2,2,1,1,1,1,2,1,1,3,1,5,4,5,5,5,1,5,2,4,5,5,2,1,5,5,1,5,3,2,4,2,3,2,4,5,3,1,1,5,2,3,2,3,3,1,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2,4,5,4,4,4,5,5,5,3,4,4,3,3,2,2,4,4,4,4,3,2,4,2,1,1,1,3,3,4,3,3,4,3,1,3,3,4,3,3,1,1,1,3,4,3,4,3,3,1,2,4,7,5,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2,4,3,3,4,3,4,3,3,3,4,2,2,3,1,1,2,2,3,3,3,2,4,2,2,3,4,4,4,4,3,3,2,1,1,3,3,1,2,4,1,1,1,1,1,4,4,3,2,1,2,4,6,2,6,6,6,6,6,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2,3,3,4,4,3,2,2,2,3,4,2,3,3,2,1,1,1,2,1,3,2,3,3,2,2,3,3,3,4,3,3,3,2,2,4,2,2,3,3,2,2,2,2,3,3,3,3,3,3,1,5,6,4,7,7,7,7,4,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,4,3,4,5,5,5,5,4,4,5,3,4,4,4,3,3,3,3,3,4,4,4,2,3,3,4,4,4,4,3,3,3,3,4,2,4,3,2,4,3,2,3,4,3,3,3,4,3,4,2,4,4,3,5,5,5,4,5,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2,3,2,2,3,3,4,3,3,4,3,3,2,2,2,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,3,2,3,3,2,3,1,2,4,1,1,2,4,1,2,2,1,3,3,3,2,4,2,3,1,3,3,2,2,4,2,2,2,2,4,2,2,4,2,1,3,2,3,1,2,3,1,1,2,3,3,5,5,7,7,7,6,7,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2,4,4,5,4,2,4,4,4,3,2,3,2,3,3,1,1,1,1,2,1,1,3,3,1,1,1,4,4,3,2,4,5,5,2,3,3,1,1,5,1,1,1,1,1,1,1,2,1,2,2,4,7,7,5,5,5,5,6,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2,5,5,3,4,1,4,5,5,5,5,4,2,3,4,2,1,1,3,4,3,4,4,2,1,1,2,2,1,2,3,3,4,3,2,1,5,1,4,2,3,1,1,1,3,2,2,3,2,2,1,5,6,4,5,3,3,5,4,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2,4,4,4,3,2,4,4,5,2,5,4,4,3,4,2,2,2,2,4,4,3,2,4,4,4,4,3,4,4,2,4,3,4,2,3,3,4,1,5,3,3,4,3,2,5,4,3,4,4,1,5,7,3,7,7,7,7,4,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,3,3,3,5,4,4,4,4,3,3,3,2,2,2,2,2,1,1,2,2,2,5,1,2,1,1,1,1,1,4,2,2,2,1,5,1,4,5,1,1,1,2,1,2,2,1,2,2,1,4,2,3,4,4,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3,4,5,3,4,2,5,5,5,4,3,3,4,3,3,2,2,1,2,1,3,3,4,2,4,2,5,5,4,5,2,4,5,5,1,4,2,3,4,2,1,2,1,2,2,4,5,3,5,1,1,5,7,5,6,7,7,5,4,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,3,2,4,3,4,5,2,4,4,2,3,4,2,2,1,1,2,1,3,4,2,4,2,2,2,4,1,2,2,4,2,2,4,2,4,2,2,4,2,5,2,2,1,4,2,2,4,1,2,1,5,6,6,7,7,6,4,5,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2,4,4,2,5,3,3,2,3,2,4,2,3,2,1,1,2,2,1,1,1,2,2,4,3,3,2,2,2,3,2,4,2,2,1,3,3,3,4,2,1,2,1,2,1,1,2,2,2,2,2,4,4,4,4,4,4,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2,2,3,5,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,3,1,2,3,3,3,1,1,1,3,4,3,3,1,2,1,1,5,1,1,5,2,2,1,3,5,2,4,2,2,1,2,4,5,3,6,6,4,3,2,2,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,3,2,4,4,2,4,4,4,2,3,2,3,3,2,1,2,2,2,3,2,2,4,2,3,2,3,4,2,2,3,3,3,2,1,4,2,4,3,3,1,1,1,1,2,3,3,4,3,2,3,3,4,3,4,4,5,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,3,3,4,2,2,2,3,3,4,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,4,2,2,2,4,4,2,2,2,4,3,1,2,1,1,4,4,5,4,5,2,4,5,5,7,7,7,5,3,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2,4,2,4,3,4,5,4,4,3,4,3,4,3,3,3,2,1,3,1,1,1,2,4,2,2,5,4,5,5,2,4,2,3,2,2,4,2,2,4,2,2,2,2,2,4,4,5,3,4,2,4,4,2,5,3,2,1,1,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2,4,2,2,1,5,4,2,3,4,1,3,4,4,3,2,1,1,4,4,4,2,1,5,5,4,3,5,5,5,2,4,5,5,5,2,4,5,2,4,5,4,4,1,3,1,5,5,5,4,1,5,7,6,7,7,7,7,7,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,2,2,1,1,1,1,2,3,2,2,2,2,1,1,1,1,1,1,2,1,1,3,3,1,1,2,2,2,2,4,2,2,1,1,4,2,1,3,3,1,1,2,1,2,2,3,3,3,3,2,4,4,4,5,5,6,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2,5,3,4,4,5,5,5,4,5,4,3,4,4,4,2,2,2,3,2,2,4,2,4,5,5,5,5,5,5,2,4,2,4,2,2,4,5,1,5,4,4,4,5,5,5,5,5,5,5,2,4,5,4,5,5,6,4,3,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,2,1,1,2,1,1,1,3,1,1,1,2,2,2,1,1,1,1,1,1,1,2,4,3,1,3,3,2,3,4,2,2,2,1,4,2,1,4,2,1,1,3,4,1,1,5,1,4,1,2,4,4,2,2,2,2,2,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2,4,4,4,3,4,4,4,3,2,2,3,2,3,3,1,1,2,1,4,2,2,3,3,2,2,2,4,3,4,3,3,2,2,2,3,3,4,4,2,2,2,2,2,3,4,3,2,2,2,3,3,5,4,7,7,5,4,6,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,4,3,4,4,4,5,5,5,5,4,3,3,3,3,2,3,2,2,4,3,3,3,3,2,2,3,4,4,2,3,3,2,3,4,4,2,4,4,2,2,1,1,2,2,3,4,5,3,4,2,4,6,5,7,7,7,6,6,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,4,2,3,5,4,3,2,4,4,4,3,2,4,2,3,4,3,2,3,2,2,4,2,3,1,4,2,3,3,4,2,2,1,1,4,2,5,3,3,1,2,5,4,1,4,4,2,1,3,3,3,3,1,7,6,7,6,2,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2,5,5,4,3,2,4,4,3,5,4,4,3,3,3,1,1,2,3,3,3,2,2,4,1,2,4,5,5,5,3,3,3,3,1,2,4,5,3,3,1,2,2,2,2,4,3,2,2,4,1,5,7,7,7,7,7,7,7,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,3,2,3,4,2,3,3,4,2,3,2,2,2,2,1,3,1,2,1,2,1,4,2,4,1,2,5,4,4,3,3,2,4,3,2,4,1,2,4,1,1,4,4,3,1,3,3,2,4,2,4,5,4,6,6,6,4,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
